Brand,SKU Count,Relative Ranking,Relative Rating
golens,68,157.63235294117646,4.028846153846154
godrej,50,164.36,4.340816326530613
qubo,38,149.18421052631578,4.389473684210526
lavna,23,128.2608695652174,4.260869565217392
atomberg,19,156.47368421052633,4.226315789473684
escozor®,14,143.92857142857142,2.0
uniy®,13,174.46153846153845,4.5
okos,8,195.75,4.666666666666667
tuchware,8,280.875,4.0
yale,7,190.42857142857142,4.357142857142857
idoor,7,233.71428571428572,5.0
homemate,7,169.42857142857142,2.9
dorset,6,102.5,3.88
abez,5,265.8,
lacasa,5,313.2,
smart,4,217.75,3.8
uniy,4,146.5,4.5
jal,4,160.0,
bafuweiy,4,270.75,3.6
jenix,4,224.25,3.0
iplug,4,259.5,5.0
denler,3,160.0,3.7
ozone,3,178.0,3.3333333333333335
lockly,3,201.33333333333334,4.433333333333334
navkar,3,296.0,
zkteco,3,230.66666666666666,3.2000000000000006
hanutech,3,285.3333333333333,
speedy,3,197.33333333333334,4.7
bectro,2,265.5,3.5
lancoon,2,263.5,4.6
smartcoolous,2,267.5,3.6
dratal,2,271.0,
securam,2,274.0,4.2
iuppa,2,272.0,
trendy,2,319.5,
fingerprint,2,190.0,3.75
hawkvision,2,118.0,5.0
hafele,2,261.0,4.0
bytbots,2,278.5,
lockomatic,2,285.5,
bush,2,199.0,5.0
inllex,2,268.5,5.0
ghome,2,339.5,4.1
fipilock,1,125.0,3.6
gordej,1,77.0,
equal,1,84.0,3.7
helett®,1,25.0,3.5
plantex,1,10.0,4.3
helett,1,18.0,4.1
ifitech,1,20.0,3.9
escozor,1,15.0,3.9
mypin,1,102.0,3.9
rfid,1,151.0,
amicismart,1,257.0,5.0
geek,1,254.0,
ipsa,1,251.0,
delta,1,152.0,
l3,1,133.0,5.0
delavala,1,285.0,
foxgard,1,283.0,3.8
vintecch,1,282.0,
sr,1,279.0,
electro,1,277.0,
mukhivala,1,278.0,
ezviz,1,274.0,
hands,1,273.0,
putmax,1,258.0,3.5
yunay,1,270.0,5.0
jainson,1,259.0,
abez-,1,260.0,3.0
ketumal,1,310.0,
houzmatic,1,290.0,
honexa,1,292.0,
pulido,1,287.0,3.6
ankh,1,334.0,
kamonk,1,333.0,
folohaos,1,332.0,4.0
the,1,329.0,
mifare,1,326.0,2.9
premvati,1,311.0,
gunally,1,312.0,
veera,1,314.0,
dhvaj,1,295.0,
cornesty,1,335.0,4.1
kenrone,1,336.0,3.8
yuxana,1,353.0,
epic,1,354.0,
philips,1,194.0,4.1
dehmy,1,200.0,1.0
valencia,1,226.0,4.2
